academic_title
"JProf. Dr. "
"Jun. Prof. Dr. "
"Prof. Dr. Dr. habil. "
"Prof. Dr. rer. nat. habil. "
"Prof. Dr.-Ing. habil. "
"Prof. Dr. rer. pol. "
"Prof. Dr. rer.pol. "
"Prof. Dr.-Ing. "
"Prof. Dr.- Ing. "
"Prof. Dr. -Ing. "
"Prof. Dr. "
"Dr.-Ing. "
"Dr.- Ing. "
"Dr-Ing. habil. "
"JProf. "
"Jun. Prof. "
"Jun.-Prof. "
"Dr. "
"Prof. "
"Frau "
"Prof.in "
"Prof."
"Dr."
"Prof. Dr."
"Prof. Dr.-Ing."
"Ph.D."
"PhD."
"Professor "
"Professorin "
"Dipl.-Pol. "
"Dipl.-Ing. (FH) Bach"
"Dipl.-Ing. "
"Dipl. Kfm. "
"Profn. "
