url,finc_class_facet
https://w3id.org/kim/hochschulfaechersystematik/n1,"Allgemeine und vergleichende Sprach- und Literaturwissenschaft, Indogermanistik, Außereuropäische Sprachen und Literaturen; Anglistik, Amerikanistik; Byzantinistik; Germanistik, Niederlandistik, Skandinavistik; Romanistik; Slawistik"
https://w3id.org/kim/hochschulfaechersystematik/n2,Sport
https://w3id.org/kim/hochschulfaechersystematik/n3,Rechtswissenschaft; Wirtschaftswissenschaften; Ethnologie (Volks- und Völkerkunde); Soziologie
https://w3id.org/kim/hochschulfaechersystematik/n4,Mathematik; Allgemeine Naturwissenschaft; Biologie; Chemie und Pharmazie; Physik
https://w3id.org/kim/hochschulfaechersystematik/n5,Medizin
https://w3id.org/kim/hochschulfaechersystematik/n7,"Land- und Forstwirtschaft, Gartenbau, Fischereiwirtschaft, Hauswirtschaft"
https://w3id.org/kim/hochschulfaechersystematik/n8,Informatik; Technik
https://w3id.org/kim/hochschulfaechersystematik/n9,Kunst und Kunstgeschichte
https://w3id.org/kim/hochschulfaechersystematik/n01,"Allgemeine und vergleichende Sprach- und Literaturwissenschaft, Indogermanistik, Außereuropäische Sprachen und Literaturen; Anglistik, Amerikanistik; Byzantinistik; Germanistik, Niederlandistik, Skandinavistik; Romanistik; Slawistik"
https://w3id.org/kim/hochschulfaechersystematik/n02,Theologie und Religionswissenschaft
https://w3id.org/kim/hochschulfaechersystematik/n03,Theologie und Religionswissenschaft
https://w3id.org/kim/hochschulfaechersystematik/n04,Philosophie
https://w3id.org/kim/hochschulfaechersystematik/n05,Geschichte
https://w3id.org/kim/hochschulfaechersystematik/n06,Allgemeines
https://w3id.org/kim/hochschulfaechersystematik/n07,"Allgemeine und vergleichende Sprach- und Literaturwissenschaft, Indogermanistik, Außereuropäische Sprachen und Literaturen"
https://w3id.org/kim/hochschulfaechersystematik/n08,Klassische Philologie; Neugriechische Philologie
https://w3id.org/kim/hochschulfaechersystematik/n09,"Germanistik, Niederlandistik, Skandinavistik"
https://w3id.org/kim/hochschulfaechersystematik/n10,"Anglistik, Amerikanistik"
https://w3id.org/kim/hochschulfaechersystematik/n11,Romanistik
https://w3id.org/kim/hochschulfaechersystematik/n12,Slawistik
https://w3id.org/kim/hochschulfaechersystematik/n13,"Allgemeine und vergleichende Sprach- und Literaturwissenschaft, Indogermanistik, Außereuropäische Sprachen und Literaturen"
