hochschulfaechersystematik_url,fincclass_txtF_mv_identifier
https://w3id.org/kim/hochschulfaechersystematik/n1,philology; philology-english; philology-germanicscandinavian; philology-greeklatin; philology-romanic; philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n2,recreation
https://w3id.org/kim/hochschulfaechersystematik/n3,law; economics; socialsciences
https://w3id.org/kim/hochschulfaechersystematik/n4,science-mathematics; science; science-biology; science-chemistry; science-physics
https://w3id.org/kim/hochschulfaechersystematik/n5,medicine
https://w3id.org/kim/hochschulfaechersystematik/n7,agriculture; medicine-veterinary
https://w3id.org/kim/hochschulfaechersystematik/n8,science-computerscience
https://w3id.org/kim/hochschulfaechersystematik/n9,finearts
https://w3id.org/kim/hochschulfaechersystematik/n01,philology; philology-english; philology-germanicscandinavian; philology-greeklatin; philology-romanic; philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n02,religion
https://w3id.org/kim/hochschulfaechersystematik/n03,religion
https://w3id.org/kim/hochschulfaechersystematik/n04,philosophy
https://w3id.org/kim/hochschulfaechersystematik/n05,history
https://w3id.org/kim/hochschulfaechersystematik/n06,information-library-book-systems
https://w3id.org/kim/hochschulfaechersystematik/n07,philology
https://w3id.org/kim/hochschulfaechersystematik/n08,philology-greeklatin
https://w3id.org/kim/hochschulfaechersystematik/n09,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n10,philology-english
https://w3id.org/kim/hochschulfaechersystematik/n11,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n12,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n13,philology
https://w3id.org/kim/hochschulfaechersystematik/n14,finearts
https://w3id.org/kim/hochschulfaechersystematik/n18,
https://w3id.org/kim/hochschulfaechersystematik/n58,agriculture; economics-home
https://w3id.org/kim/hochschulfaechersystematik/n138,agriculture; science-biology
https://w3id.org/kim/hochschulfaechersystematik/n125,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n003,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n028,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n060,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n097,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n220,agriculture; economics-home
https://w3id.org/kim/hochschulfaechersystematik/n353,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n371,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n227,agriculture; economics-home
https://w3id.org/kim/hochschulfaechersystematik/n60,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n320,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n071,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n333,economics-home
https://w3id.org/kim/hochschulfaechersystematik/n59,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n058,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n075,agriculture
https://w3id.org/kim/hochschulfaechersystematik/n57,agriculture; science-environmental
https://w3id.org/kim/hochschulfaechersystematik/n093,agriculture; science-environmental
https://w3id.org/kim/hochschulfaechersystematik/n061,
https://w3id.org/kim/hochschulfaechersystematik/n064,
https://w3id.org/kim/hochschulfaechersystematik/n51,medicine-veterinary
https://w3id.org/kim/hochschulfaechersystematik/n156,medicine-veterinary
https://w3id.org/kim/hochschulfaechersystematik/n188,philology
https://w3id.org/kim/hochschulfaechersystematik/n152,philology
https://w3id.org/kim/hochschulfaechersystematik/n284,philology
https://w3id.org/kim/hochschulfaechersystematik/n018,
https://w3id.org/kim/hochschulfaechersystematik/n160,philology; science-computerscience
https://w3id.org/kim/hochschulfaechersystematik/n031,philology-greeklatin
https://w3id.org/kim/hochschulfaechersystematik/n070,philology-greeklatin
https://w3id.org/kim/hochschulfaechersystematik/n005,philology-greeklatin
https://w3id.org/kim/hochschulfaechersystematik/n095,philology-greeklatin
https://w3id.org/kim/hochschulfaechersystematik/n043,
https://w3id.org/kim/hochschulfaechersystematik/n006,philology-english
https://w3id.org/kim/hochschulfaechersystematik/n008,philology-english
https://w3id.org/kim/hochschulfaechersystematik/n002,philology
https://w3id.org/kim/hochschulfaechersystematik/n001,philology
https://w3id.org/kim/hochschulfaechersystematik/n010,philology
https://w3id.org/kim/hochschulfaechersystematik/n187,philology
https://w3id.org/kim/hochschulfaechersystematik/n015,philology
https://w3id.org/kim/hochschulfaechersystematik/n073,philology
https://w3id.org/kim/hochschulfaechersystematik/n078,philology
https://w3id.org/kim/hochschulfaechersystematik/n081,philology
https://w3id.org/kim/hochschulfaechersystematik/n083,
https://w3id.org/kim/hochschulfaechersystematik/n085,philology
https://w3id.org/kim/hochschulfaechersystematik/n180,philology
https://w3id.org/kim/hochschulfaechersystematik/n122,philology
https://w3id.org/kim/hochschulfaechersystematik/n145,philology
https://w3id.org/kim/hochschulfaechersystematik/n158,philology
https://w3id.org/kim/hochschulfaechersystematik/n022,information-library-book-systems
https://w3id.org/kim/hochschulfaechersystematik/n037,information-library-book-systems
https://w3id.org/kim/hochschulfaechersystematik/n161,
https://w3id.org/kim/hochschulfaechersystematik/n544,education; religion
https://w3id.org/kim/hochschulfaechersystematik/n053,religion
https://w3id.org/kim/hochschulfaechersystematik/n004,
https://w3id.org/kim/hochschulfaechersystematik/n090,philology
https://w3id.org/kim/hochschulfaechersystematik/n302,
https://w3id.org/kim/hochschulfaechersystematik/n034,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n271,
https://w3id.org/kim/hochschulfaechersystematik/n067,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n189,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n119,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n120,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n272,history
https://w3id.org/kim/hochschulfaechersystematik/n012,archeology
https://w3id.org/kim/hochschulfaechersystematik/n068,history
https://w3id.org/kim/hochschulfaechersystematik/n273,history
https://w3id.org/kim/hochschulfaechersystematik/n548,history
https://w3id.org/kim/hochschulfaechersystematik/n183,history
https://w3id.org/kim/hochschulfaechersystematik/n030010001,
https://w3id.org/kim/hochschulfaechersystematik/n162,
https://w3id.org/kim/hochschulfaechersystematik/n545,education; religion
https://w3id.org/kim/hochschulfaechersystematik/n086,religion
https://w3id.org/kim/hochschulfaechersystematik/n173,ethnology
https://w3id.org/kim/hochschulfaechersystematik/n024,ethnology
https://w3id.org/kim/hochschulfaechersystematik/n174,ethnology
https://w3id.org/kim/hochschulfaechersystematik/n169,philosophy
https://w3id.org/kim/hochschulfaechersystematik/n127,philosophy
https://w3id.org/kim/hochschulfaechersystematik/n136,religion
https://w3id.org/kim/hochschulfaechersystematik/n059,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n084,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n131,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n137,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n150,philology-romanic
https://w3id.org/kim/hochschulfaechersystematik/n016,
https://w3id.org/kim/hochschulfaechersystematik/n056,philology-germanicscandinavian
https://w3id.org/kim/hochschulfaechersystematik/n206,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n139,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n146,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n207,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n153,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n209,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n130,philology-slavic
https://w3id.org/kim/hochschulfaechersystematik/n48,
https://w3id.org/kim/hochschulfaechersystematik/n195,education
https://w3id.org/kim/hochschulfaechersystematik/n232,
https://w3id.org/kim/hochschulfaechersystematik/n233,
https://w3id.org/kim/hochschulfaechersystematik/n234,
https://w3id.org/kim/hochschulfaechersystematik/n49,medicine
https://w3id.org/kim/hochschulfaechersystematik/n107,medicine
https://w3id.org/kim/hochschulfaechersystematik/n50,medicine
https://w3id.org/kim/hochschulfaechersystematik/n185,medicine
https://w3id.org/kim/hochschulfaechersystematik/n66,architecture
https://w3id.org/kim/hochschulfaechersystematik/n013,architecture
https://w3id.org/kim/hochschulfaechersystematik/n242,architecture
https://w3id.org/kim/hochschulfaechersystematik/n68,engineering-civil
https://w3id.org/kim/hochschulfaechersystematik/n017,engineering-civil
https://w3id.org/kim/hochschulfaechersystematik/n197,engineering-civil
https://w3id.org/kim/hochschulfaechersystematik/n429,engineering-civil
https://w3id.org/kim/hochschulfaechersystematik/n094,engineering-water
https://w3id.org/kim/hochschulfaechersystematik/n077,engineering-water
https://w3id.org/kim/hochschulfaechersystematik/n62,mining-metallurgy
https://w3id.org/kim/hochschulfaechersystematik/n390,archeology
https://w3id.org/kim/hochschulfaechersystematik/n020,mining-metallurgy
https://w3id.org/kim/hochschulfaechersystematik/n076,mining-metallurgy
https://w3id.org/kim/hochschulfaechersystematik/n103,mining-metallurgy; science-geology
https://w3id.org/kim/hochschulfaechersystematik/n64,engineering-electrical
https://w3id.org/kim/hochschulfaechersystematik/n316,engineering-electrical; engineering-energy
https://w3id.org/kim/hochschulfaechersystematik/n048,engineering-electrical
https://w3id.org/kim/hochschulfaechersystematik/n222,engineering-electrical
https://w3id.org/kim/hochschulfaechersystematik/n157,engineering-electrical
https://w3id.org/kim/hochschulfaechersystematik/n286,engineering-electrical
https://w3id.org/kim/hochschulfaechersystematik/n088,engineering-electrical
