katalogeintraege_tag,hoschschulfaechersystematik_url
Accounting and Finance,https://w3id.org/kim/hochschulfaechersystematik/n265; https://w3id.org/kim/hochschulfaechersystematik/n021
Agrarsystemtechnik,https://w3id.org/kim/hochschulfaechersystematik/n003
Akustik und Sprachkommunikation,https://w3id.org/kim/hochschulfaechersystematik/n222; https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n8
Allgemeine Psychologie,https://w3id.org/kim/hochschulfaechersystematik/n32; https://w3id.org/kim/hochschulfaechersystematik/n132
Alte Musik,https://w3id.org/kim/hochschulfaechersystematik/n78
Ältere und Frühneuzeitliche deutsche Literatur und Kultur,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067; https://w3id.org/kim/hochschulfaechersystematik/n090
Amerikanistik,https://w3id.org/kim/hochschulfaechersystematik/n10; https://w3id.org/kim/hochschulfaechersystematik/n10
Angewandte Bewegungswissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n22; https://w3id.org/kim/hochschulfaechersystematik/n029
Angewandte Computer‐ und Biowissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n221
Angewandte Linguistik,https://w3id.org/kim/hochschulfaechersystematik/n160
Angewandte Mathematik,https://w3id.org/kim/hochschulfaechersystematik/n37; Mathematik
Angewandte Mechanik,https://w3id.org/kim/hochschulfaechersystematik/n104
Angewandte Physik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Angewandte Sprachen und IKK,https://w3id.org/kim/hochschulfaechersystematik/n284
Anglistik,https://w3id.org/kim/hochschulfaechersystematik/n008
Anglistik und Amerikanistik,https://w3id.org/kim/hochschulfaechersystematik/n10
Anlageninstandhaltung 3 - Ausgewählte Apparate und Anlagen und Industrial Management,https://w3id.org/kim/hochschulfaechersystematik/n63; https://w3id.org/kim/hochschulfaechersystematik/n104
Anorganische Chemie,https://w3id.org/kim/hochschulfaechersystematik/n40; https://w3id.org/kim/hochschulfaechersystematik/n032
Arbeit und Organisation,https://w3id.org/kim/hochschulfaechersystematik/n258; https://w3id.org/kim/hochschulfaechersystematik/n011
Arbeits- und Organisationspsychologie,https://w3id.org/kim/hochschulfaechersystematik/n32; https://w3id.org/kim/hochschulfaechersystematik/n132
Architektur,https://w3id.org/kim/hochschulfaechersystematik/n013
Architektur und Sozialwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n013; https://w3id.org/kim/hochschulfaechersystematik/n26; https://w3id.org/kim/hochschulfaechersystematik/n148
Architekturtheorie,https://w3id.org/kim/hochschulfaechersystematik/n013
Automatisierung 1 - Mess- und Regelungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n048
Automatisierung 2 - Steuerungs- und Automatisierungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n048
Automatisierungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n048
Automobiltechnik Dresden - IAD,https://w3id.org/kim/hochschulfaechersystematik/n089
Bahnfahrzeuge und Bahntechnik,https://w3id.org/kim/hochschulfaechersystematik/n089
Bau und Umwelt,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n457; https://w3id.org/kim/hochschulfaechersystematik/n57
"Baugeschichte, Architekturtheorie und Denkmalpflege",https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n013; https://w3id.org/kim/hochschulfaechersystematik/n068
Bauinformatik,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n017; https://w3id.org/kim/hochschulfaechersystematik/n079
Bauingenieurwesen,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n017
Bauwesen,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n017
Bergbau und Spezialtiefbau,https://w3id.org/kim/hochschulfaechersystematik/n62; https://w3id.org/kim/hochschulfaechersystematik/n020
